Time (s),SMA Wire Temperature (°C),Gadolinium Tube Temperature (°C)
0.0,90.0,25.0
0.05925712096356697,89.6019920527981,25.096425090596995
0.6518283305992366,85.75463330403358,25.948610542065865
2.577166589915244,74.77661488644264,27.621913481191825
4.5205380026523745,65.71670087850481,28.228917192485028
6.6791580366462195,57.58029589574846,28.25032312057533
9.072884906585891,50.44972149263094,27.91742050629057
11.76098243399388,44.288599840920085,27.40767462920337
14.817652665244866,39.07619567951019,26.84648052179665
18.339502551827962,34.79293656896863,26.317392747717122
22.420729862572653,31.432331889206353,25.872746875210964
27.06266766332386,28.988308887405083,25.540334885292623
32.17533196695758,27.356087139161843,25.317352782541093
37.767307400148,26.324910950062872,25.177311884933772
43.93943521611928,25.7018853781305,25.09342743080532
50.82855224972905,25.345400128594576,25.045800081182733
58.61052079564745,25.15507039065875,25.020513706176473
67.52257257722906,25.06200027698037,25.008191594422897
77.90005089071522,25.02134677553687,25.00281914579034
90.2378709730162,25.00603893628312,25.000798020259936
100.0,25.00221357012566,25.00029232565555
